"image_path","scanner_model"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s1_10.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s1_12.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s1_13.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s1_14.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s1_15.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s1_16.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s1_17.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_29.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_30.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_31.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_32.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_33.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_34.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_35.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_36.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s1_37.tif","Canon120-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s2_17.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s2_18.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s2_19.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s2_20.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s2_22.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s2_23.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s2_20.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s2_21.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s2_22.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s2_23.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s2_24.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s2_25.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s2_26.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s2_27.tif","Canon120-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s3_10.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s3_11.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s3_5.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s3_7.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s3_8.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s3_9.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s3_19.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s3_20.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s3_21.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s3_22.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s3_23.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s3_24.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s3_25.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s3_26.tif","Canon220"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s4_13.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s4_14.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s4_16.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s4_17.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s4_18.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s4_19.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s4_10.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s4_11.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s4_4.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s4_5.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s4_6.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s4_7.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s4_8.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s4_9.tif","Canon9000-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s5_2.tif","Canon9000-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s5_3.tif","Canon9000-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s5_4.tif","Canon9000-2"
