image_path,scanner_model
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_10.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_16.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_17.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_20.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_21.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_22.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_23.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_24.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_25.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_26.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_27.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_28.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_31.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_33.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_34.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_35.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_36.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_37.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_38.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_39.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_40.tif","HP-Scanner"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_41.tif","HP-Scanner"

